route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
561,1,561,"NAIT - Acheson",,3,,,
562,1,562,"South Campus - Spruce Grove via Acheson",,3,,,
580,1,580,"Fort Saskatchewan Commuter",,3,,,
589,1,589,"Edmonton Waste Management Centre",,3,,,
59,1,59,"Clockwise Mill Woods to South Common to Mill Woods",,3,,,
6,1,6,"Millwoods TC - Southgate",,3,,,
60,1,60,"Mill Woods - Millgate",,3,,,
601,1,601,"Ormsby - Wedgewood - ABM - Ross Sheppard",,3,,,
602,1,602,"Windsor Park - Belgravia - Strathcona",,3,,,
603,1,603,"Jackson Heights - Father Michael Troy",,3,,,
604,1,604,"Wild Rose - Kenilworth - McNally",,3,,,
605,1,605,"Wild Rose - AOB - Hardisty",,3,,,
606,1,606,"Mill Woods - McNally",,3,,,
607,1,607,"Meadows - Mill Woods",,3,,,
608,1,608,"MWTC - Silver Berry - Larkspur - McNally",,3,,,
609,1,609,"MWTC - S. Berry - Larkspur -AOB - Hardisty",,3,,,
61,1,61,"Mill Woods - Millgate",,3,,,
610,1,610,"Rapperswill - Ross Shep - Arch Mac",,3,,,
611,1,611,"Wild Rose - Larkspur - McNally",,3,,,
612,1,612,"Wild Rose-Larkspur-Kiniski-Hardisty",,3,,,
613,1,613,"Southgate - Strathcona",,3,,,
614,1,614,"Mill Woods - Harry Ainlay",,3,,,
615,1,615,"MWTC-Southwood-Kiniski-AOB-Hardisty",,3,,,
616,1,616,"Southgate - Avalon",,3,,,
62,1,62,"Southwood - Mill Woods - CBD",,3,,,
63,1,63,"Southwood - Mill Woods - CBD",,3,,,
64,1,64,"Knottwood - Lakewood - Mill Woods",,3,,,
65,1,65,"Knottwood - Lakewood - Mill Woods",,3,,,
66,1,66,"Mill Woods - Millgate - CBD",,3,,,
67,1,67,"Mill Woods - Silver Berry - Meadows",,3,,,
68,1,68,"Mill Woods - Millgate",,3,,,
69,1,69,"Mill Woods TC - Meadows - Millgate",,3,,,
7,1,7,"Jasper Place - Downtown - University",,3,,,
70,1,70,"Mill Woods - 99 St & 82 Av - Downtown",,3,,,
71,1,71,"Mill Woods - Government Centre",,3,,,
72,1,72,"Southbound Millgate to Mill Woods",,3,,,
74,1,74,"Mill Woods to Century Park to Southgate",,3,,,
747,1,747,"Century Park - International Airport",,3,,,
77,1,77,"Mill Woods to Century Park",,3,,,
78,1,78,"Century Park to Mill Woods",,3,,,
79,1,79,"Century Park to Mill Woods",,3,,,
8,1,8,"Mill Woods - Downtown - Abbottsfield",,3,,,
80,1,80,"Capilano - Southgate",,3,,,
800,1,800,"McNally - Kiniski Gdns-Southwood-MWTC",,3,,,
801,1,801,"Ottewell - Austin O'Brien - Burnewood",,3,,,
802,1,802,"Ottewell-AOB - Jackson Hts-Larkspur-Silver Berry",,3,,,
803,1,803,"Mary Butterworth - Lago Lindo - Belle Rive",,3,,,
804,1,804,"Avalon - Southgate",,3,,,
805,1,805,"Arch Mac - NGTE - Eaux Claires",,3,,,
806,1,806,"Ross Sheppard - Eaux Claires",,3,,,
807,1,807,"Father Michael Troy - Kiniski - Jackson Heights",,3,,,
808,1,808,"McNally - Silver Berry",,3,,,
809,1,809,"Strathcona - Belgravia - Windsor Park",,3,,,
81,1,81,"Mill Woods - Downtown",,3,,,
810,1,810,"Ottewell-AOB - Kiniski Gdn-Southwood-MWTC",,3,,,
