service_id,date,exception_type
DX-004-Weekday-1-20-02-1111100,20200401,1
DX-004-Weekday-1-20-02-1111100,20200402,1
DX-004-Weekday-1-20-02-1111100,20200403,1
DX-004-Weekday-1-20-02-1111100,20200406,1
DX-004-Weekday-1-20-02-1111100,20200407,1
DX-004-Weekday-1-20-02-1111100,20200408,1
DX-004-Weekday-1-20-02-1111100,20200409,1
DX-004-Weekday-1-20-02-1111100,20200414,1
DX-004-Weekday-1-20-02-1111100,20200415,1
DX-004-Weekday-1-20-02-1111100,20200416,1
DX-004-Weekday-1-20-02-1111100,20200417,1
DX-004-Weekday-1-20-02-1111100,20200420,1
DX-004-Weekday-1-20-02-1111100,20200421,1
DX-004-Weekday-1-20-02-1111100,20200422,1
DX-004-Weekday-1-20-02-1111100,20200423,1
DX-004-Weekday-1-20-02-1111100,20200424,1
DX-004-Weekday-2-19-12-0000100,20200124,1
DX-004-Weekday-2-19-12-0000100,20200131,1
DX-004-Weekday-2-19-12-0000100,20200207,1
DX-004-Weekday-2-19-12-0001000,20200123,1
DX-004-Weekday-2-19-12-0001000,20200130,1
DX-004-Weekday-2-19-12-0001000,20200206,1
DX-004-Weekday-2-19-12-1010100,20200120,1
DX-004-Weekday-2-19-12-1010100,20200122,1
DX-004-Weekday-2-19-12-1010100,20200124,1
DX-004-Weekday-2-19-12-1010100,20200127,1
DX-004-Weekday-2-19-12-1010100,20200129,1
DX-004-Weekday-2-19-12-1010100,20200131,1
DX-004-Weekday-2-19-12-1010100,20200203,1
DX-004-Weekday-2-19-12-1010100,20200205,1
DX-004-Weekday-2-19-12-1010100,20200207,1
DX-004-Weekday-2-19-12-1110100,20200120,1
DX-004-Weekday-2-19-12-1110100,20200121,1
DX-004-Weekday-2-19-12-1110100,20200122,1
DX-004-Weekday-2-19-12-1110100,20200124,1
DX-004-Weekday-2-19-12-1110100,20200127,1
DX-004-Weekday-2-19-12-1110100,20200128,1
DX-004-Weekday-2-19-12-1110100,20200129,1
DX-004-Weekday-2-19-12-1110100,20200131,1
DX-004-Weekday-2-19-12-1110100,20200203,1
DX-004-Weekday-2-19-12-1110100,20200205,1
DX-004-Weekday-2-19-12-1110100,20200207,1
DX-004-Weekday-2-19-12-1111000,20200120,1
DX-004-Weekday-2-19-12-1111000,20200121,1
DX-004-Weekday-2-19-12-1111000,20200122,1
DX-004-Weekday-2-19-12-1111000,20200123,1
DX-004-Weekday-2-19-12-1111000,20200127,1
DX-004-Weekday-2-19-12-1111000,20200128,1
DX-004-Weekday-2-19-12-1111000,20200129,1
DX-004-Weekday-2-19-12-1111000,20200130,1
DX-004-Weekday-2-19-12-1111000,20200203,1
DX-004-Weekday-2-19-12-1111000,20200205,1
DX-004-Weekday-2-19-12-1111000,20200206,1
DX-004-Weekday-2-19-12-1111100,20200120,1
DX-004-Weekday-2-19-12-1111100,20200121,1
DX-004-Weekday-2-19-12-1111100,20200122,1
DX-004-Weekday-2-19-12-1111100,20200123,1
DX-004-Weekday-2-19-12-1111100,20200124,1
DX-004-Weekday-2-19-12-1111100,20200127,1
DX-004-Weekday-2-19-12-1111100,20200128,1
