stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1307,1307,"Government Transit Centre",,  53.536519,-113.504605,1EDM,,0,
1308,1308,"Government Transit Centre",,  53.536339,-113.504592,1EDM,,0,
1310,1310,"Government Transit Centre",,  53.535982,-113.504596,1EDM,,0,
1320,1320,"95 Street & 118 Avenue",,  53.570332,-113.486576,1EDM,,0,
1321,1321,"100 Street & 102 Avenue",,  53.543175,-113.490524,1EDM,,0,
1322,1322,"103 Street & Jasper Avenue",,  53.540832,-113.496440,1EDM,,0,
1323,1323,"67 Street & 112 Avenue",,  53.564219,-113.440110,1EDM,,0,
1324,1324,"95 Street & 112 Avenue",,  53.560800,-113.487271,1EDM,,0,
1325,1325,"87 Street & 118 Avenue",,  53.570339,-113.474435,1EDM,,0,
1326,1326,"34 Street & 111 Avenue",,  53.564509,-113.393636,1EDM,,0,
1327,1327,"80 Street & 118 Avenue",,  53.570462,-113.464671,1EDM,,0,
1328,1328,"96 Street & Jasper Avenue",,  53.543359,-113.482699,1EDM,,0,
1329,1329,"124 Street & 117 Avenue",,  53.568047,-113.536056,1EDM,,0,
1330,1330,"54 Street & 122 Avenue",,  53.576955,-113.424472,1EDM,,0,
1331,1331,"86 Street & 112 Avenue",,  53.561505,-113.473194,1EDM,,0,
1332,1332,"74 Street & 112 Avenue",,  53.561876,-113.451928,1EDM,,0,
1333,1333,"109 Street & 111 Avenue",,  53.559016,-113.509060,1EDM,,0,
1334,1334,"97 Street & 114 Avenue",,  53.563950,-113.491947,1EDM,,0,
1335,1335,"95 Street & 105 Avenue",,  53.549906,-113.481236,1EDM,,0,
1336,1336,"101 Street & Jasper Avenue",,  53.540931,-113.492287,1EDM,,0,
1337,1337,"36 Street & 118 Avenue",,  53.570438,-113.397372,1EDM,,0,
1338,1338,"92 Street & Jasper Avenue",,  53.549163,-113.474692,1EDM,,0,
1339,1339,"90 Street & 122 Avenue",,  53.576677,-113.480043,1EDM,,0,
